Episode,A3C_Score,A2C_Score,ACER_Score
646,22.0,16.0,123.0
647,35.0,69.0,81.0
648,69.0,28.0,69.0
649,51.0,64.0,90.0
650,60.0,60.0,138.0
651,33.0,63.0,83.0
652,32.0,63.0,140.0
653,30.0,25.0,200.0
654,21.0,35.0,172.0
655,162.0,39.0,132.0
656,17.0,17.0,88.0
657,47.0,29.0,113.0
658,108.0,66.0,146.0
659,44.0,69.0,122.0
660,46.0,59.0,89.0
661,45.0,30.0,97.0
662,25.0,65.0,156.0
663,81.0,38.0,71.0
664,30.0,18.0,126.0
665,59.0,80.0,110.0
666,31.0,38.0,149.0
667,25.0,64.0,126.0
668,34.0,19.0,70.0
669,31.0,32.0,185.0
670,47.0,37.0,276.0
671,58.0,82.0,177.0
672,44.0,43.0,112.0
673,27.0,28.0,82.0
674,58.0,36.0,117.0
675,60.0,55.0,95.0
676,91.0,34.0,108.0
677,21.0,29.0,67.0
678,40.0,66.0,94.0
679,14.0,15.0,103.0
680,55.0,55.0,218.0
681,103.0,59.0,98.0
682,14.0,48.0,48.0
683,27.0,20.0,87.0
684,34.0,37.0,87.0
685,22.0,34.0,49.0
686,25.0,41.0,72.0
687,14.0,143.0,123.0
688,87.0,31.0,72.0
689,34.0,55.0,40.0
690,28.0,26.0,91.0
691,38.0,32.0,52.0
692,37.0,18.0,77.0
693,19.0,149.0,64.0
694,40.0,34.0,52.0
695,58.0,37.0,87.0
696,142.0,17.0,71.0
697,138.0,77.0,126.0
698,15.0,54.0,115.0
699,60.0,24.0,86.0
700,29.0,43.0,154.0
701,45.0,92.0,224.0
702,20.0,135.0,249.0
703,28.0,44.0,141.0
704,19.0,83.0,104.0
705,49.0,76.0,142.0
706,35.0,27.0,106.0
707,19.0,34.0,78.0
708,17.0,87.0,109.0
709,31.0,60.0,134.0
710,19.0,45.0,137.0
711,59.0,61.0,183.0
712,18.0,40.0,82.0
713,25.0,120.0,114.0
714,29.0,92.0,111.0
715,29.0,26.0,87.0
716,27.0,40.0,104.0
717,22.0,24.0,207.0
718,47.0,65.0,104.0
719,98.0,72.0,102.0
720,23.0,28.0,96.0
721,32.0,34.0,148.0
722,83.0,75.0,116.0
723,89.0,73.0,90.0
724,47.0,80.0,119.0
725,27.0,66.0,104.0
726,42.0,127.0,178.0
727,20.0,35.0,81.0
728,90.0,57.0,77.0
729,77.0,56.0,141.0
730,25.0,76.0,104.0
731,35.0,29.0,104.0
732,20.0,129.0,74.0
733,122.0,52.0,185.0
734,32.0,46.0,216.0
